ID,Genotipo
G548,4
G570,4
G627m,4
G634m,4
G67m,4
G782m,4
G824m,4
G873m,4
G937,4
G947,4
G987,4
G1022,5
G1280,5
G1293,5
G135,5
G1369,5
G1438,5
G1459,5
G1518,5
G152,5
G1614,5
G1728,5
G1741,5
G1745m,5
G1765,5
G1767,5
G1841,5
G1849m,5
G1850,5
G1870,5
G1889,5
G191,5
G1939,5
G1946,5
G1968,5
G2016,5
G2026,5
G2031m,5
G2033,5
G2072,5
G2083,5
G208,5
G2119,5
G213,5
G2144,5
G2148m,5
G2186,5
G2196,5
G2200,5
G2222,5
G2258,5
G2289,5
G2291,5
G2293,5
G2295,5
G2296,5
G2298,5
G2653,5
G2669,5
G2684,5
G2780,5
G2796,5
G3060,5
G307m,5
G308m,5
G314m,5
G459m,5
G478m,5
G536m,5
G579,5
G63,5
G642,5
G682,5
G733,5
G768m,5
G78,5
G979,5
G1002,6
G1011,6
G1036,6
G119,6
G1238FE28,6
G1302m,6
G143,6
G1449,6
G1458,6
G1461,6
G1537,6
G1557,6
G1571,6
G1585,6
G1603,6
G1610,6
G164,6
G168,6
G1715,6
G1731,6
G1732,6
G1743,6
G1786,6
G1801,6
G1823,6
G1825,6
G1827,6
G1859,6
G1885,6
G1923,6
G1958,6
G1985,6
G1998,6
G2017,6
G201,6
G2039,6
G2062,6
G2064,6
G2070,6
G2092,6
G2125,6
G2130,6
G2137,6
G2147,6
G214,6
G2152,6
G2173,6
G2174,6
G2176m,6
G2211,6
G2259,6
G2261,6
G2273,6
G2314,6
G2316,6
G2318,6
G2319,6
G2416,6
G243,6
G2460,6
G2512,6
G2580,6
G2602,6
G2631,6
G2632,6
G2641,6
G2654,6
G2671,6
G2706,6
G2707,6
G2779,6
G2789,6
G2798Lib2,6
G2801,6
G2805,6
G2822,6
G2843,6
G2894,6
G2920,6
G2965,6
G2970,6
G2971,6
G2978,6
G2982,6
G3003,6
G3062,6
G525m,6
G561m,6
G60,6
G621m,6
G637m,6
G669,6
G694m,6
G757m,6
G856m,6
G879m,6
G882m,6
G901,6
G04,7
G1023,7
G1246,7
G1261,7
G1303,7
G1308,7
G1432,7
G145,7
G1476,7
G1558,7
G1570,7
G1577,7
G1578,7
G1604,7
G1617,7
G1704,7
G1725,7
G1739,7
G1756m,7
G1763,7
G1769,7
G1784,7
G1787,7
G1821,7
G1853,7
G1855m,7
G1862,7
G190,7
G1935,7
G1938,7
G1940,7
G1983m,7
G1986,7
G2020,7
G2023m,7
G2048,7
G2065,7
G2133,7
G2143,7
G2155m,7
G2180,7
G2209,7
G2215,7
G2249,7
G2312,7
G2338,7
G2347,7
G2415,7
G2443,7
G246,7
G2485,7
G2547,7
G2567,7
G258,7
G2607,7
G2661,7
G2704,7
G2755,7
G278m,7
G2809,7
G280,7
G2812,7
G2817,7
G2874,7
G2912,7
G2921,7
G453m,7
G623m,7
G693m,7
G764m,7
G778m,7
G77,7
G826m,7
G917,7
G91,7
G922,7
G924,7
G945,7
G984,7
G101,8
G1056,8
G1107,8
G1133m,8
G1180,8
G1181,8
G1190,8
G120,8
G1268,8
G1269,8
G1274,8
G1296,8
G1312,8
G1314,8
G1323,8
G1325,8
G1328,8
G1329,8
G1353m,8
G1355,8
G1366,8
G137,8
G1431,8
G1446,8
G1452,8
G1465,8
G1469,8
G150m,8
G1519m,8
G1542,8
G1564,8
G1568,8
G1581,8
G1613,8
G1618,8
G1619,8
G1633,8
G1647,8
G1683,8
G1685,8
G1702,8
G1740,8
G1742,8
G1750,8
G1762,8
G1782,8
G180m,8
G1819,8
G1826,8
G1835,8
G1851,8
G1857m,8
G1865,8
G1866m,8
G186,8
G1914,8
G1945,8
G1954,8
G1955,8
G1956,8
G1965,8
G1969,8
G196,8
G1971,8
G1988,8
G1999,8
G202,8
G2034,8
G2089,8
G209,8
G2101,8
G2104,8
G2107,8
G2162,8
G2165,8
G2184,8
G2185,8
G2203,8
G2213,8
G2237,8
G2241,8
G2245,8
G2292,8
G2300m,8
G2301,8
G2302,8
G2308m,8
G2410,8
G2418,8
G242,8
G245m,8
G2470,8
G2471,8
G2472,8
G2477,8
G25,8
G2615,8
G262,8
G2636,8
G2657,8
G266,8
G2691,8
G26,8
G2725,8
G2727,8
G2743,8
G2766,8
G2770,8
G2772,8
G2785,8
G2828,8
G2856,8
G2959,8
G2981,8
G3004,8
G3053,8
G3057,8
G348m,8
G350m,8
G405m,8
G407m,8
G408m,8
G428m,8
G431m,8
G435m,8
G444,8
G467m,8
G468m,8
G558m,8
G559,8
G563,8
G565m,8
G580m,8
G584m,8
G641m,8
G651m,8
G665,8
G684m,8
G75,8
G76,8
G81,8
G863m,8
G868m,8
G876m,8
G878,8
G919,8
G926,8
G934,8
G94,8
G960,8
G976,8
G1062m,9
G1065,9
G1068,9
G1202,9
G1321,9
G1322,9
G1344,9
G1360,9
G1368,9
G1375,9
G1403,9
G1420,9
G1447,9
G1509,9
G1514,9
G1536,9
G1543,9
G1638,9
G1648,9
G1652,9
G1653,9
G1700,9
G1726,9
G1759,9
G1760,9
G1766,9
G1785,9
G1852,9
G1900,9
G1913,9
G1926,9
G1942,9
G2015,9
G2030,9
G2051,9
G2054m,9
G2063,9
G2075,9
G2080,9
G2102,9
G211,9
G2154,9
G2160,9
G2164,9
G2167,9
G2191,9
G2192,9
G2199,9
G2235,9
G233,9
G2386,9
G2413,9
G2767,9
G2783,9
G2867,9
G2954,9
G2962,9
G395m,9
G402m,9
G439m,9
G450m,9
G465,9
G497m,9
G500m,9
G512m,9
G538m,9
G58,9
G594m,9
G848m,9
G861m,9
G89,9
G975,9
G990,9
G991,9
G992,9
G1015,10
G103,10
G108,10
G1141,10
G1158m,10
G1204,10
G123,10
G1258,10
G1270,10
G128,10
G1320,10
G1327,10
G1350,10
G1376,10
G1379,10
G1407,10
G142,10
G1437,10
G146m,10
G1501FE36,10
G1524,10
G1576,10
G1586,10
G1651,10
G1663,10
G1708,10
G1747,10
G1751,10
G1758,10
G1761,10
G1799,10
G1805,10
G1831,10
G1839,10
G1896m,10
G1911,10
G1921,10
G1936,10
G1957,10
G1996,10
G2022,10
G2055m,10
G2057,10
G2079,10
G2081,10
G2090,10
G2138,10
G2151,10
G2202,10
G2204,10
G2232,10
G2233,10
G2234,10
G2236,10
G2244,10
G2248,10
G226,10
G2271,10
G2290,10
G2343Lib2,10
G2486,10
G2496,10
G250,10
G2511,10
G2527,10
G260,10
G2623,10
G2648,10
G2709,10
G2730,10
G2740,10
G2749,10
G2761,10
G2773,10
G2804,10
G2831,10
G290m,10
G2953,10
G3077,10
G322m,10
G337,10
G351,10
G406m,10
G419m,10
G474m,10
G549m,10
G650,10
G675,10
G788FE29,10
G832m,10
G835m,10
G839m,10
G84,10
G850m,10
G977,10
G99,10
G1017,11
G1498,11
G1636,11
G1727,11
G1992,11
G2117,11
G2121,11
G2135,11
G2177,11
G2181,11
G2252,11
G2417,11
G2458m,11
G2459m,11
G2466,11
G2476,11
G2612,11
G454m,11
G469m,11
G79,11
G820,11
G177m,12
G318,12
G1161,13
G1507,13
G1733,13
G1736,13
G1757,13
G1791,13
G1803,13
G2238,13
G2541,13
G2650,13
G2830,13
G2911,13
G440,13
G551m,13
G577,13
G1009,14
G1018,14
G127,14
G1365,14
G1517,14
G1525,14
G1631,14
G1635,14
G1753,14
G1924,14
G1932,14
G1944,14
G1962,14
G200,14
G2066,14
G2156,14
G2169,14
G2172,14
G2178m,14
G2182,14
G2284,14
G229,14
G2328,14
G2332,14
G24,14
G261,14
G2626,14
G268,14
G393m,14
G482m,14
G564m,14
G583m,14
G661m,14
G85,14
G995,14
G1093m,15
G1304,15
G1305,15
G1309,15
G1310,15
G1521,15
G1532,15
G1573,15
G1579,15
G1634,15
G1637,15
G1675,15
G1817,15
G1861,15
G1892,15
G1906,15
G1912,15
G1966,15
G2091,15
G2103,15
G2163m,15
G227,15
G2497,15
G2501,15
G257,15
G2645,15
G2791,15
G581m,15
G770m,15
G891,15
G1043,16
G1273,16
G1492,16
G1494,16
G1495,16
G1500FE27,16
G1621,16
G1660,16
G1705,16
G1822,16
G1837,16
G1898,16
G1943,16
G2128,16
G2230,16
G2231,16
G2450,16
G2452,16
G2463,16
G253,16
G2875,16
G3073,16
G630m,16
G810m,16
G818m,16
G851m,16
G871m,16
