"Freq"
16
6
5
7
4
71
62
48
45
75
21
49
26
10
25
13
29
13
20
2
64
34
95
40
75
49
8
21
10
8
11
8
8
5
10
32
9
5
10
6
10
9
2
6
10
3
5
8
7
7
20
10
10
6
4
5
