"Freq"
8
1
3
5
4
44
42
21
35
49
16
20
17
7
8
5
13
5
6
1
26
20
45
17
55
32
5
15
6
2
9
7
7
3
4
28
8
3
8
5
1
4
4
3
5
8
6
5
17
8
5
1
1
5
