"Genotipo","Spain","cluster10snps"
3,NA,NA
3,"Spain",NA
2,"Spain",NA
7,"Spain","Cluster_172"
2,NA,"Cluster_173"
6,NA,NA
14,NA,NA
8,"Spain",NA
2,"Spain","Cluster_1"
6,"Spain","Cluster_76"
2,"Spain","Cluster_173"
10,NA,"Cluster_128"
11,NA,NA
14,"Spain","Cluster_149"
1,"Spain",NA
5,NA,NA
7,"Spain","Cluster_2"
10,"Spain","Cluster_77"
6,"Spain",NA
16,NA,NA
8,"Spain",NA
4,NA,NA
2,"Spain",NA
2,"Spain",NA
1,"Spain","Cluster_3"
9,NA,NA
3,NA,NA
9,"Spain","Cluster_166"
9,"Spain",NA
3,"Spain",NA
10,"Spain","Cluster_181"
3,"Spain","Cluster_29"
4,"Spain",NA
2,"Spain","Cluster_4"
15,"Spain",NA
2,NA,NA
2,NA,"Cluster_179"
1,"Spain",NA
2,NA,"Cluster_146"
8,"Spain","Cluster_150"
1,"Spain","Cluster_174"
1,"Spain",NA
3,"Spain","Cluster_5"
8,"Spain","Cluster_148"
3,"Spain",NA
10,NA,"Cluster_22"
3,NA,"Cluster_6"
2,NA,NA
1,"Spain","Cluster_108"
3,"Spain","Cluster_109"
10,NA,"Cluster_7"
4,"Spain",NA
4,"Spain",NA
13,"Spain","Cluster_8"
2,NA,"Cluster_179"
2,"Spain",NA
2,"Spain",NA
8,"Spain","Cluster_110"
8,"Spain","Cluster_110"
4,NA,NA
1,"Spain","Cluster_125"
6,NA,NA
8,"Spain","Cluster_64"
4,"Spain",NA
4,"Spain","Cluster_154"
1,NA,NA
1,"Spain",NA
1,"Spain","Cluster_78"
8,NA,"Cluster_70"
1,"Spain","Cluster_78"
2,"Spain",NA
9,"Spain",NA
10,NA,NA
3,NA,NA
10,"Spain","Cluster_79"
6,NA,"Cluster_9"
2,"Spain",NA
1,NA,NA
7,"Spain","Cluster_172"
2,"Spain","Cluster_144"
10,"Spain","Cluster_80"
4,NA,"Cluster_151"
7,"Spain","Cluster_10"
8,NA,NA
8,"Spain","Cluster_11"
14,"Spain",NA
10,NA,NA
2,NA,NA
16,NA,"Cluster_23"
8,NA,"Cluster_150"
3,NA,NA
4,"Spain",NA
10,"Spain","Cluster_80"
5,"Spain",NA
4,NA,"Cluster_12"
4,"Spain",NA
2,NA,"Cluster_179"
5,"Spain",NA
8,"Spain",NA
2,"Spain",NA
6,NA,"Cluster_112"
7,"Spain","Cluster_175"
15,"Spain","Cluster_13"
15,NA,"Cluster_13"
7,"Spain","Cluster_172"
15,"Spain","Cluster_14"
15,NA,"Cluster_14"
8,"Spain",NA
8,NA,"Cluster_15"
2,"Spain",NA
2,NA,"Cluster_161"
2,NA,"Cluster_161"
10,"Spain","Cluster_181"
9,NA,NA
9,"Spain","Cluster_166"
8,"Spain",NA
8,NA,NA
10,"Spain",NA
8,"Spain",NA
8,"Spain",NA
3,NA,"Cluster_91"
4,"Spain","Cluster_12"
2,"Spain","Cluster_144"
9,NA,NA
2,"Spain","Cluster_157"
3,"Spain",NA
5,"Spain",NA
10,"Spain","Cluster_181"
4,NA,"Cluster_16"
8,"Spain",NA
2,NA,NA
8,"Spain","Cluster_11"
1,NA,NA
1,"Spain",NA
3,"Spain","Cluster_113"
4,"Spain","Cluster_82"
9,"Spain","Cluster_114"
3,"Spain","Cluster_17"
14,"Spain",NA
8,"Spain","Cluster_141"
2,NA,"Cluster_167"
9,"Spain",NA
5,"Spain",NA
8,NA,NA
9,"Spain",NA
10,NA,NA
4,"Spain",NA
10,NA,NA
1,NA,"Cluster_18"
9,NA,NA
4,NA,NA
10,NA,NA
2,"Spain","Cluster_179"
10,"Spain","Cluster_20"
9,"Spain","Cluster_114"
1,"Spain","Cluster_83"
2,"Spain","Cluster_162"
2,NA,"Cluster_19"
4,NA,NA
6,"Spain",NA
8,NA,"Cluster_61"
7,"Spain","Cluster_10"
2,NA,NA
10,NA,NA
5,"Spain","Cluster_21"
2,NA,"Cluster_142"
2,"Spain","Cluster_115"
3,"Spain","Cluster_109"
8,"Spain","Cluster_110"
9,NA,NA
6,"Spain","Cluster_76"
7,"Spain","Cluster_172"
8,"Spain","Cluster_129"
6,"Spain",NA
5,NA,NA
6,"Spain","Cluster_32"
8,NA,NA
4,"Spain",NA
8,"Spain","Cluster_143"
10,NA,"Cluster_22"
2,"Spain","Cluster_144"
2,NA,NA
2,NA,NA
7,NA,"Cluster_86"
2,NA,"Cluster_63"
2,NA,"Cluster_145"
4,"Spain",NA
4,NA,NA
16,NA,NA
16,NA,"Cluster_23"
16,NA,"Cluster_23"
4,"Spain","Cluster_82"
4,"Spain",NA
11,NA,NA
4,NA,NA
1,NA,NA
16,NA,NA
10,NA,NA
2,"Spain","Cluster_24"
2,NA,"Cluster_24"
13,"Spain","Cluster_116"
9,NA,NA
8,NA,NA
2,"Spain",NA
1,NA,NA
2,"Spain","Cluster_25"
9,NA,"Cluster_117"
1,"Spain",NA
14,NA,"Cluster_26"
5,"Spain","Cluster_164"
8,"Spain","Cluster_118"
5,"Spain","Cluster_130"
2,NA,NA
15,"Spain",NA
1,"Spain","Cluster_100"
1,"Spain",NA
10,NA,"Cluster_27"
14,NA,"Cluster_26"
1,NA,NA
4,NA,NA
15,"Spain",NA
2,"Spain","Cluster_87"
9,"Spain",NA
6,"Spain","Cluster_9"
2,"Spain",NA
2,NA,NA
8,"Spain",NA
9,"Spain","Cluster_163"
4,NA,"Cluster_28"
2,NA,NA
2,NA,NA
6,NA,NA
7,NA,"Cluster_84"
3,"Spain","Cluster_5"
3,"Spain","Cluster_29"
8,"Spain","Cluster_30"
2,"Spain","Cluster_115"
1,"Spain","Cluster_125"
8,"Spain",NA
7,NA,"Cluster_31"
6,"Spain","Cluster_76"
15,"Spain",NA
10,NA,"Cluster_27"
7,"Spain","Cluster_172"
7,"Spain","Cluster_31"
15,"Spain",NA
8,"Spain",NA
3,NA,NA
4,"Spain",NA
6,NA,"Cluster_32"
10,NA,NA
2,"Spain","Cluster_85"
6,"Spain","Cluster_76"
7,"Spain","Cluster_33"
2,NA,NA
1,NA,NA
6,NA,"Cluster_76"
2,"Spain","Cluster_34"
1,"Spain",NA
8,"Spain","Cluster_118"
5,"Spain",NA
4,"Spain","Cluster_16"
1,"Spain","Cluster_3"
7,"Spain","Cluster_86"
8,"Spain",NA
8,NA,"Cluster_119"
3,"Spain","Cluster_35"
16,"Spain","Cluster_23"
2,"Spain","Cluster_87"
3,NA,"Cluster_35"
4,NA,"Cluster_28"
14,NA,NA
8,NA,NA
15,"Spain","Cluster_14"
14,"Spain","Cluster_26"
11,NA,"Cluster_131"
15,"Spain","Cluster_36"
9,"Spain","Cluster_117"
6,NA,"Cluster_69"
2,"Spain","Cluster_140"
1,NA,NA
8,NA,"Cluster_118"
9,"Spain","Cluster_37"
2,NA,NA
10,"Spain","Cluster_120"
9,"Spain",NA
9,"Spain","Cluster_37"
4,"Spain",NA
1,"Spain",NA
2,NA,NA
16,NA,NA
4,"Spain","Cluster_132"
10,NA,NA
3,"Spain",NA
2,NA,NA
4,"Spain",NA
1,NA,NA
15,"Spain",NA
2,NA,"Cluster_144"
2,NA,NA
6,"Spain","Cluster_69"
8,NA,NA
1,"Spain",NA
8,"Spain",NA
1,"Spain",NA
4,"Spain",NA
4,"Spain","Cluster_132"
3,"Spain",NA
9,"Spain",NA
4,"Spain","Cluster_169"
8,NA,NA
2,"Spain",NA
7,"Spain","Cluster_33"
16,NA,NA
10,"Spain","Cluster_158"
3,"Spain","Cluster_88"
1,"Spain",NA
6,NA,"Cluster_32"
1,"Spain",NA
2,"Spain",NA
3,NA,NA
3,NA,"Cluster_38"
7,NA,NA
9,"Spain",NA
11,NA,NA
5,"Spain",NA
6,"Spain","Cluster_165"
6,NA,"Cluster_76"
13,NA,NA
13,NA,"Cluster_8"
7,"Spain","Cluster_84"
8,"Spain",NA
5,NA,NA
8,"Spain","Cluster_30"
6,NA,NA
5,"Spain","Cluster_138"
10,NA,"Cluster_22"
8,NA,NA
10,"Spain",NA
2,"Spain","Cluster_66"
14,NA,NA
2,NA,NA
7,NA,NA
13,NA,NA
10,"Spain",NA
9,"Spain","Cluster_39"
2,NA,"Cluster_146"
9,"Spain",NA
10,NA,"Cluster_22"
8,"Spain",NA
7,"Spain","Cluster_40"
2,NA,NA
5,"Spain",NA
9,"Spain",NA
5,"Spain",NA
2,NA,NA
7,NA,"Cluster_40"
3,NA,"Cluster_38"
2,NA,"Cluster_146"
1,NA,NA
4,"Spain",NA
2,"Spain","Cluster_4"
2,NA,NA
2,NA,"Cluster_142"
12,"Spain","Cluster_121"
2,NA,"Cluster_122"
8,NA,"Cluster_41"
2,"Spain",NA
7,"Spain","Cluster_89"
9,"Spain","Cluster_37"
6,"Spain","Cluster_9"
7,"Spain",NA
2,"Spain","Cluster_104"
13,"Spain","Cluster_116"
2,"Spain","Cluster_144"
1,"Spain","Cluster_123"
10,"Spain","Cluster_79"
6,NA,NA
13,NA,"Cluster_116"
10,NA,"Cluster_27"
8,"Spain",NA
15,"Spain",NA
3,NA,NA
8,NA,NA
1,"Spain",NA
7,NA,"Cluster_33"
16,NA,"Cluster_176"
6,"Spain","Cluster_76"
1,"Spain","Cluster_90"
6,NA,NA
8,"Spain",NA
6,"Spain",NA
2,"Spain",NA
2,"Spain","Cluster_144"
3,NA,NA
10,NA,NA
8,"Spain","Cluster_133"
2,"Spain",NA
16,NA,NA
10,NA,"Cluster_181"
5,NA,NA
2,"Spain","Cluster_4"
5,NA,"Cluster_164"
5,"Spain",NA
8,"Spain","Cluster_133"
9,"Spain",NA
7,"Spain",NA
4,"Spain","Cluster_42"
7,"Spain","Cluster_172"
8,"Spain","Cluster_152"
2,NA,NA
6,NA,"Cluster_76"
8,"Spain",NA
2,NA,NA
15,"Spain",NA
7,NA,"Cluster_33"
1,NA,"Cluster_78"
2,NA,NA
8,NA,"Cluster_119"
8,"Spain","Cluster_129"
2,NA,"Cluster_87"
4,"Spain",NA
1,"Spain","Cluster_78"
5,"Spain",NA
6,"Spain",NA
5,NA,"Cluster_43"
15,NA,NA
1,NA,NA
10,NA,NA
16,NA,"Cluster_176"
3,NA,"Cluster_109"
7,"Spain",NA
9,"Spain","Cluster_134"
15,"Spain",NA
4,"Spain",NA
2,"Spain","Cluster_162"
5,"Spain",NA
2,"Spain","Cluster_25"
10,"Spain","Cluster_135"
15,"Spain",NA
9,"Spain",NA
8,NA,"Cluster_118"
3,"Spain","Cluster_91"
3,NA,"Cluster_91"
2,NA,NA
2,"Spain","Cluster_145"
1,NA,NA
10,"Spain",NA
3,"Spain","Cluster_91"
6,NA,"Cluster_112"
14,NA,"Cluster_102"
3,"Spain","Cluster_91"
9,"Spain",NA
14,"Spain",NA
4,"Spain",NA
7,"Spain","Cluster_92"
10,NA,NA
7,NA,NA
5,NA,"Cluster_43"
7,"Spain",NA
3,NA,NA
9,NA,NA
16,NA,NA
14,NA,NA
8,"Spain",NA
5,"Spain","Cluster_130"
4,"Spain","Cluster_42"
4,"Spain",NA
8,NA,"Cluster_41"
8,"Spain","Cluster_119"
8,"Spain",NA
10,"Spain","Cluster_77"
6,"Spain","Cluster_69"
