ID,cluster10snps
G560,Cluster_83
G2661,Cluster_84
G1739,Cluster_84
G2065,Cluster_84
G1558,Cluster_84
G1590,Cluster_85
G249,Cluster_85
G924,Cluster_86
G1476,Cluster_86
G1617,Cluster_86
G980,Cluster_87
G1867m,Cluster_87
G2620,Cluster_87
G1533,Cluster_87
G1627,Cluster_87
G2146,Cluster_88
G1711,Cluster_88
G1784,Cluster_89
G984,Cluster_89
G1824,Cluster_90
G2581,Cluster_90
G2275,Cluster_90
G1922,Cluster_91
G2095,Cluster_91
G2281,Cluster_91
G1925,Cluster_91
G1916,Cluster_91
G1915,Cluster_91
G1332,Cluster_91
G246,Cluster_92
G1935,Cluster_92
G548,Cluster_93
G1989,Cluster_93
G2436,Cluster_93
G2062,Cluster_94
G2580,Cluster_94
G2334,Cluster_95
G2120,Cluster_95
G247,Cluster_96
G654m,Cluster_96
G2136,Cluster_96
G2169,Cluster_97
G2172,Cluster_97
G2255,Cluster_98
G2254,Cluster_98
G2341,Cluster_98
G2263,Cluster_98
G2259,Cluster_99
G2261,Cluster_99
G2344,Cluster_100
G2326,Cluster_100
G2294,Cluster_100
G2309,Cluster_100
G1522,Cluster_100
G2306,Cluster_100
G2822,Cluster_101
G2316,Cluster_101
G2318,Cluster_101
G2332,Cluster_102
G2328,Cluster_102
G1924,Cluster_102
G589,Cluster_103
G2464,Cluster_103
G2624,Cluster_104
G909,Cluster_104
G562m,Cluster_104
G2532,Cluster_104
G1788,Cluster_104
G2650,Cluster_105
G551m,Cluster_105
G561m,Cluster_106
G2805,Cluster_106
G500m,Cluster_107
G497m,Cluster_107
G465,Cluster_107
G302m,Cluster_108
G1154,Cluster_108
G1440,Cluster_109
G940,Cluster_109
G1156,Cluster_109
G19,Cluster_109
G2856,Cluster_110
G1446,Cluster_110
G405m,Cluster_110
G1965,Cluster_110
G2725,Cluster_110
G76,Cluster_110
G1180,Cluster_110
G1181,Cluster_110
G1909,Cluster_111
G1186,Cluster_111
G1923,Cluster_112
G60,Cluster_112
G1302m,Cluster_112
G214,Cluster_112
G1358,Cluster_113
G3000,Cluster_113
G1420,Cluster_114
G1360,Cluster_114
G144,Cluster_115
G2660,Cluster_115
G287,Cluster_115
G1566,Cluster_115
G2019,Cluster_115
G1803,Cluster_116
G1507,Cluster_116
G1791,Cluster_116
G1638,Cluster_117
G439m,Cluster_117
G1514,Cluster_117
G2743,Cluster_118
G1613,Cluster_118
G1647,Cluster_118
G1914,Cluster_118
G1519m,Cluster_118
G1619,Cluster_119
G2034,Cluster_119
G2300m,Cluster_119
G1955,Cluster_119
G1865,Cluster_119
G2213,Cluster_119
G2202,Cluster_120
G2486,Cluster_120
G1651,Cluster_120
G177m,Cluster_121
G318,Cluster_121
G2469,Cluster_122
G2214,Cluster_122
G1780,Cluster_122
G2465m,Cluster_122
G1795,Cluster_123
G2307,Cluster_123
G2638,Cluster_124
G2827,Cluster_124
G2765,Cluster_125
G3064,Cluster_125
G837m,Cluster_125
G3072,Cluster_125
G1567,Cluster_125
G2462,Cluster_125
G2786,Cluster_125
G881m,Cluster_125
G1188,Cluster_125
G932,Cluster_125
G446,Cluster_125
G2097,Cluster_125
G883,Cluster_126
G377,Cluster_126
G395m,Cluster_127
G89,Cluster_127
G850m,Cluster_128
G839m,Cluster_128
G788FE29,Cluster_128
G1015,Cluster_128
