ID,Genotipo
G1188,1
G1356,1
G1421,1
G1567,1
G1686,1
G2096,1
G2097,1
G2430,1
G2462,1
G2750,1
G2765,1
G2786,1
G3064,1
G3072,1
G441m,1
G446,1
G560,1
G837m,1
G881m,1
G925,1
G932,1
G1061,2
G111,2
G1154,2
G149m,2
G1512,2
G1616,2
G1646,2
G1684,2
G1773,2
G1795,2
G182,2
G1920,2
G2194,2
G2243,2
G2254,2
G2255,2
G2263,2
G2265,2
G2307,2
G2341,2
G2423,2
G2456,2
G2457,2
G302m,2
G321m,2
G358m,2
G442m,2
G982,2
G1019,3
G110,3
G1113,3
G1195,3
G1198,3
G1199,3
G1200,3
G1243,3
G1357m,3
G139,3
G1516,3
G1522,3
G1523,3
G1528,3
G1609,3
G1612,3
G1657,3
G1672,3
G1713,3
G1716m,3
G1824,3
G1863,3
G1869m,3
G1893,3
G1964,3
G2042,3
G204,3
G216,3
G217,3
G2190,3
G2225,3
G2239,3
G2275,3
G228,3
G2294,3
G2306,3
G2309,3
G2326,3
G2344,3
G2490,3
G255,3
G2581,3
G2638,3
G2656,3
G2726,3
G2803,3
G2808,3
G2813,3
G2821,3
G2827,3
G320m,3
G508m,3
G554,3
G568m,3
G572,3
G597,3
G69,3
G701m,3
G880m,3
G910,3
G03,4
G1090,4
G1105m,4
G1152,4
G124,4
G125,4
G1272,4
G1315,4
G1342,4
G1347,4
G1433,4
G1471_NOSIP,4
G1474_NOSIP,4
G147,4
G1505,4
G1506,4
G1520,4
G1538,4
G1545,4
G1546,4
G1590,4
G1607,4
G165,4
G166,4
G1676,4
G1678,4
G1754,4
G1764,4
G1768,4
G176,4
G1772,4
G1775,4
G1783,4
G1788,4
G1792,4
G1829,4
G1842,4
G1918,4
G1972,4
G2002,4
G2059,4
G2093,4
G2105,4
G2136,4
G2206,4
G2226,4
G222,4
G2266,4
G2279,4
G2280,4
G22,4
G2336,4
G247,4
G249,4
G2532,4
G2624,4
G2682,4
G271,4
G2769,4
G2788,4
G2806,4
G2807,4
G3074,4
G323m,4
G338m,4
G471m,4
G503m,4
G562m,4
G654m,4
G697m,4
G838m,4
G884,4
G885,4
G886,4
G906,4
G909,4
G941,4
G951,4
G958,4
G989,4
G1060,5
G1098m,5
G1099,5
G1163,5
G1288m,5
G1354,5
G1367,5
G1411,5
G1439,5
G144,5
G1481,5
G1484m,5
G151,5
G1539,5
G1566,5
G1752m,5
G1777m,5
G1778,5
G1780,5
G1836,5
G192,5
G2019,5
G2036,5
G2038,5
G2041,5
G2049,5
G2166,5
G2168,5
G2193,5
G2197m,5
G2198,5
G2201,5
G2214,5
G2264,5
G2297,5
G2310,5
G237,5
G2397,5
G2407,5
G2411,5
G2414,5
G2464,5
G2465m,5
G2469,5
G2475,5
G2498m,5
G251,5
G2526,5
G2535,5
G2603,5
