"Freq"
15
17
35
43
31
46
10
17
6
32
26
20
3
4
24
17
8
12
7
5
16
4
7
23
16
26
32
36
11
5
11
28
13
33
1
1
2
1
3
2
4
1
12
9
2
7
1
1
1
1
