"Freq"
21
28
60
80
69
69
24
27
15
53
36
23
5
10
28
26
25
21
26
13
22
8
11
25
21
30
41
59
17
6
17
35
38
58
10
3
7
1
2
5
2
8
6
7
22
13
3
11
3
4
7
12
4
