Isolates,lvl
G1188,1
G1567,1
G2097,1
G2462,1
G2765,1
G2786,1
G3064,1
G3072,1
G446,1
G837m,1
G881m,1
G932,1
G1421,2
G2096,2
G2430,2
G2750,2
G560,2
G925,2
G1356,3
G1686,3
G441m,3
G1061,4
G1616,4
G1795,4
G2243,4
G2307,4
G2423,4
G2456,4
G2457,4
G321m,4
G442m,4
G982,4
G111,5
G1684,5
G182,5
G2194,5
G2265,5
G1154,6
G149m,6
G1512,6
G1646,6
G1773,6
G1920,6
G302m,6
G358m,6
G2254,7
G2255,7
G2263,7
G2341,7
G1199,8
G1200,8
G1672,8
G1863,8
G1869m,8
G2190,8
G2490,8
G2808,8
G2813,8
G701m,8
G1522,9
G228,9
G2294,9
G2306,9
G2309,9
G2326,9
G2344,9
G255,9
G2656,9
G554,9
G572,9
G1019,10
G110,10
G1113,10
G1195,10
G1198,10
G1243,10
G1357m,10
G139,10
G1516,10
G1523,10
G1528,10
G1609,10
G1612,10
G1657,10
G1713,10
G1716m,10
G1824,10
G1893,10
G1964,10
G2042,10
G204,10
G216,10
G217,10
G2225,10
G2239,10
G2275,10
G2581,10
G2638,10
G2726,10
G2803,10
G2821,10
G2827,10
G320m,10
G508m,10
G568m,10
G597,10
G69,10
G880m,10
G910,10
G1105m,11
G1152,11
G124,11
G1272,11
G1315,11
G1433,11
G1545,11
G1546,11
G1607,11
G166,11
G1678,11
G1754,11
G1768,11
G176,11
G1772,11
G1918,11
G1972,11
G2002,11
G2093,11
G2136,11
G2206,11
G2226,11
G222,11
G2279,11
G22,11
G2336,11
G247,11
G2769,11
G2788,11
G2806,11
G2807,11
G3074,11
G323m,11
G338m,11
G471m,11
G654m,11
G697m,11
G838m,11
G884,11
G885,11
G886,11
G906,11
G941,11
G951,11
G958,11
G989,11
G03,12
G125,12
G1342,12
G1347,12
G1471_NOSIP,12
G1474_NOSIP,12
G147,12
G1505,12
G1506,12
G1538,12
G1676,12
G1783,12
G1792,12
G1829,12
G2105,12
G2266,12
G503m,12
G1090,13
G1520,13
G1590,13
G165,13
G1764,13
G1775,13
G1788,13
G1842,13
G2059,13
G2280,13
G249,13
G2532,13
G2624,13
G2682,13
G271,13
G562m,13
G909,13
G1060,14
G1481,14
G2264,14
G2407,14
G2606,14
G2610,14
G681m,14
G921,14
G1098m,15
G1752m,15
G2464,15
G2685,15
G2698,15
G2837,15
G589,15
G1099,16
G1163,16
G1288m,16
G1411,16
G2036,16
G2038,16
G2041,16
G2049,16
G2193,16
G2197m,16
G2198,16
G2201,16
G2475,16
G2498m,16
G368m,16
G401m,16
G553m,16
G566m,16
