Isolates,lvl
G1354,17
G1367,17
G1836,17
G2166,17
G2168,17
G2297,17
G2310,17
G2414,17
G2535,17
G403m,17
G410m,17
G1439,18
G144,18
G151,18
G1539,18
G1566,18
G1777m,18
G1778,18
G2019,18
G237,18
G2397,18
G2411,18
G2603,18
G2660,18
G287,18
G398m,18
G1484m,19
G1780,19
G192,19
G2214,19
G2465m,19
G2469,19
G251,19
G2526,19
G571m,19
G846m,19
G1170,20
G1201,20
G1533,20
G1611,20
G1627,20
G1717,20
G1860,20
G1864,20
G1867m,20
G1970,20
G2218,20
G2220,20
G2276,20
G2278,20
G2383,20
G2420,20
G2479,20
G2620,20
G3058,20
G409,20
G556m,20
G950,20
G980,20
G1000,21
G1010,21
G1012,21
G1059m,21
G117,21
G130,21
G1316,21
G1318,21
G1422,21
G1428,21
G1513,21
G1644,21
G167,21
G1703,21
G1828m,21
G1858m,21
G1908,21
G1910,21
G1997,21
G2027,21
G2099,21
G2120,21
G2171,21
G2195,21
G2227,21
G224,21
G2334,21
G2447,21
G2481,21
G2483m,21
G2571,21
G2579,21
G2630,21
G3061,21
G498m,21
G499m,21
G552m,21
G587,21
G73,21
G766m,21
G817m,21
G830m,21
G83,21
G860m,21
G923m,21
G95m_NOSIP,21
G02,22
G2024,22
G2728,22
G2979,22
G298m,22
G828m,22
G1332,23
G1915,23
G1916,23
G1922,23
G1925,23
G2095,23
G2281,23
G01,24
G1137,24
G1144,24
G1358,24
G1582,24
G1941,24
G2114,24
G2228,24
G2229,24
G2705,24
G3000,24
G1063,25
G1277,25
G1664,25
G205,25
G2688,25
G1073,26
G2435,26
G2451,26
G356m,26
G470m,26
G1089,27
G1364,27
G1563,27
G1724,27
G1770,27
G2179,27
G2836,27
G317m,27
G888,27
G1156,28
G1440,28
G1711,28
G19,28
G2146,28
G377,28
G883,28
G940,28
G1128,29
G1562,29
G1697,29
G2112,29
G2622,29
G122,30
G1620,30
G1628,30
G1718,30
G2098,30
G1349,31
G1818,31
G183,31
G2500,31
G2668,31
G1058,32
G1192,32
G1404,32
G1544,32
G1630,32
G1701,32
G2029,32
G2037,32
G2044,32
G2267,32
G2313,32
G2345,32
G486,32
G545m,32
G67m,32
G782m,32
G873m,32
G116,33
G126,33
G1279,33
G1285,33
G1334,33
G1429,33
G1467,33
G1487,33
G1489,33
G1497,33
G1654,33
G1671,33
G1687,33
G1774,33
G1854,33
G1934,33
G1948,33
G2052,33
G2074,33
G212,33
G2134,33
G2145,33
G2188,33
G2305,33
G2371m,33
G2468,33
G2491,33
G259,33
G2695,33
G313m,33
G334,33
G460,33
G463m,33
G570,33
G937,33
G947,33
G1185,34
G1378,34
G2478,34
G1191,35
G1351,35
G1359,35
G1496,35
G1583,35
G1615m,35
G1661,35
G1693,35
G1907,35
G1967,35
G1989,35
G1994,35
G2436,35
G2534,35
G548,35
G627m,35
G634m,35
G824m,35
G987,35
G109,36
G1160,36
G1286,36
G1499,36
G1530,36
G1868m,36
G1953,36
G1984,36
G2071,36
G2187,36
G2246,36
G2986,36
G357m,36
G501m,36
G152,37
G1946,37
G314m,37
G1728,38
G2072,38
G2083,38
G1745m,39
G1968,39
G2119,39
G2669,39
G2684,39
G307m,39
G308m,39
G1889,40
G1939,40
G208,40
G2196,40
G2653,40
G2780,40
G536m,40
G63,40
G733,40
G78,40
G2258,41
G2289,41
G2291,41
G2293,41
G1614,42
G1280,43
G213,43
G1741,44
G2031m,44
G2148m,44
G2796,44
G1022,45
G135,45
G2144,45
G579,45
G1293,46
G1767,46
G1841,46
G2222,46
G1369,47
G1518,47
G1849m,47
G2016,47
G2026,47
G2295,47
G2298,47
G3060,47
G768m,47
G1438,48
G1870,48
G459m,48
G478m,48
G682,48
G1459,49
G1765,49
G1850,49
G191,49
G2033,49
G2186,49
G2200,49
G2296,49
G642,49
G979,49
G1011,50
G1449,50
G1571,50
G1603,50
G1610,50
G1732,50
G1823,50
G1859,50
G201,50
G2130,50
G2273,50
G2631,50
G2641,50
G2654,50
G2779,50
G2920,50
G621m,50
G637m,50
G882m,50
G2062,51
G2580,51
G1036,52
G1825,52
G1998,52
G2707,52
G2789,52
G119,53
G1557,53
G2316,53
G2318,53
G2822,53
G1302m,54
G143,54
G1923,54
G2064,54
G214,54
G2319,54
G2602,54
G60,54
G1461,55
G1585,55
G1715,55
G2039,55
G2137,55
G2152,55
G2416,55
G2460,55
G2632,55
G2671,55
G3062,55
G2843,56
G1002,57
G1731,57
G2125,57
G2147,57
G2176m,57
G2314,57
G2965,57
G2982,57
G525m,57
G1238FE28,58
G1537,58
G1786,58
G1827,58
G669,58
G1458,59
G1743,59
G1801,59
G1985,59
G879m,59
G1885,60
G2070,60
G164,61
G168,61
G1958,61
G2512,61
G2706,61
G2970,61
G2971,61
G2978,61
G2017,62
G2092,62
G2174,62
G2259,62
G2261,62
G2894,62
G3003,62
G757m,62
G856m,62
G901,62
G2173,63
G243,63
G2805,63
G561m,63
G694m,63
G2211,64
G2798Lib2,64
G2801,64
G1303,65
G1570,65
G1578,65
G2133,65
G2567,65
G623m,65
G778m,65
G917,65
G2547,66
G280,66
G1938,67
G2249,67
G453m,67
G1476,68
G1617,68
G2312,68
G2415,68
G278m,68
G924,68
G1604,69
G1704,69
G1821,69
G1862,69
G1983m,69
G1986,69
G2020,69
G2023m,69
G2143,69
G2155m,69
G2209,69
G2485,69
G2755,69
G1787,70
G1940,70
G1756m,71
G1558,72
G1739,72
G2065,72
G2661,72
G1763,73
G1769,73
G1853,74
G2347,74
G1023,75
G1725,75
G2704,75
G945,75
G1784,76
G922,76
G984,76
G2048,77
G2809,77
G826m,77
G91,78
G04,79
G1246,79
G1308,79
G145,79
G1577,79
G1855m,79
G2215,79
G2338,79
G258,79
G77,79
G1261,80
G1432,80
G2443,80
G2607,80
G2812,80
G2874,80
G693m,80
G764m,80
G190,81
G2180,81
G2817,81
G2912,81
G2921,81
G1935,82
G246,82
G101,83
G2165,83
G919,83
G1180,84
G1181,84
G1446,84
G1965,84
G2725,84
G2856,84
G405m,84
G76,84
G1312,85
G1325,85
G150m,85
G1762,85
G196,85
G2107,85
G2477,85
G926,85
G1782,86
G1954,86
G1133m,87
G2237,87
G2241,87
G2657,87
G2766,87
G1190,88
G1568,88
G1826,88
G1999,88
G2162,88
G2301,88
G2302,88
G2418,88
G262,88
G26,88
G2727,88
G3057,88
G350m,88
G641m,88
G876m,88
G1314,89
G1452,89
G1581,89
G1866m,89
G1956,89
G1971,89
G2292,89
G2615,89
G2959,89
G444,89
G1366,90
G1465,90
G1969,90
G2245,90
G2308m,90
G242,90
G245m,90
G2981,90
G467m,90
G559,90
G1633,91
G1702,91
G1819,91
G1945,91
G468m,91
G563,91
G651m,91
G75,91
G863m,91
G1268,92
G1269,92
G1323,92
G1329,92
G1355,92
G1542,92
G1564,92
G1742,92
G180m,92
G1857m,92
G2089,92
G209,92
G2104,92
G2184,92
G2203,92
G2410,92
G266,92
G2770,92
G2785,92
G428m,92
G665,92
G684m,92
G1056,93
G1107,93
G1274,93
G1296,93
G1353m,93
G137,93
G1618,93
G1619,93
G1740,93
G1865,93
G1955,93
G202,93
G2034,93
G2213,93
G2300m,93
G3004,93
G348m,93
G584m,93
G878,93
G1431,94
G1685,94
G1750,94
G2470,94
G25,94
G2691,94
G1683,95
G1835,95
G1851,95
G186,95
G2185,95
G2471,95
G2636,95
G3053,95
G934,95
G960,95
G976,95
G120,96
G1328,96
G1469,96
G1519m,96
G1613,96
G1647,96
G1914,96
G1988,96
G2101,96
G2472,96
G2743,96
G2772,96
G2828,96
G407m,96
G408m,96
G431m,96
G435m,96
G558m,96
G565m,96
G580m,96
G81,96
G868m,96
G94,96
G1065,97
G1322,97
G2199,97
G233,97
G2867,97
G1403,98
G1447,98
G1509,98
G1726,98
G1913,98
G1760,99
G2051,99
G2167,99
G2192,99
G2015,100
G2063,100
G2386,100
G465,101
G497m,101
G500m,101
G1536,102
G2102,102
G512m,103
G1202,104
G1652,104
G1900,104
G2030,104
G2080,104
G1321,105
G594m,105
G1344,106
G1514,106
G1638,106
G1926,106
G211,106
G439m,106
G1942,107
G2191,107
G2767,107
G2954,107
G1062m,108
G1068,108
G1375,108
G1543,108
G1766,108
G1852,108
G2075,108
G2154,108
G2160,108
G2413,108
G402m,108
G450m,108
G58,108
G975,108
G1360,109
G1420,109
G2235,109
G1368,110
G1648,110
G1653,110
G1759,110
G1785,110
G2054m,110
G2783,110
G2962,110
G538m,110
G848m,110
G990,110
G991,110
G992,110
G1700,111
G2164,111
G395m,111
G861m,111
G89,111
G1015,112
G103,112
G1957,112
G2233,112
G2234,112
G2236,112
G2244,112
G226,112
G2761,112
G3077,112
G406m,112
G650,112
G788FE29,112
G839m,112
G850m,112
G1158m,113
G1270,113
G1327,113
G1501FE36,113
G1586,113
G1663,113
G1758,113
G1896m,113
G1921,113
G1936,113
G2090,113
G2511,113
G2953,113
G1204,114
G1258,114
G128,114
G1376,114
G1379,114
G1407,114
G2151,114
G2204,114
G2527,114
G337,114
G108,115
G1320,115
G1350,115
G1839,115
G2248,115
G2271,115
G2496,115
G260,115
G99,115
G1141,116
G146m,116
G1747,116
G1761,116
G2079,116
G2081,116
G123,117
G1524,117
G1576,117
G1708,117
G1799,117
G1805,117
G1911,117
G2055m,117
G2138,117
G2290,117
G2343Lib2,117
G2623,117
G2730,117
G2831,117
G322m,117
G351,117
G474m,117
G835m,117
G84,117
G977,117
G142,118
G1437,118
G1651,118
G1751,118
G1831,118
G1996,118
G2022,118
G2057,118
G2202,118
G2232,118
G2486,118
G250,118
G2648,118
G2709,118
G2740,118
G2749,118
G2773,118
G2804,118
G290m,118
G419m,118
G549m,118
G675,118
G832m,118
G1992,119
G2177,119
G2458m,119
G2459m,119
G2466,119
G2476,119
G1017,120
G1727,120
G2135,120
G2252,121
G1498,122
G2181,122
G2417,122
G1636,123
G2121,123
G454m,123
G2117,124
G469m,124
G79,125
G820,125
G2612,126
G177m,127
G318,127
G2650,128
G551m,128
G1161,129
G1736,129
G2238,130
G2541,131
G2911,131
G1507,132
G1757,132
G1791,132
G1803,132
G1733,133
G2830,133
G440,133
G577,133
G1517,134
G1525,134
G1635,134
G2182,134
G2284,134
G127,135
G1365,136
G2066,136
G2156,136
G2328,137
G2332,137
G1924,138
G564m,138
G1018,139
G1631,139
G1962,139
G2169,139
G2172,139
G229,139
G24,139
G261,139
G482m,139
G583m,139
G200,140
G268,140
G393m,140
G1009,141
G1753,141
G1932,141
G1944,141
G2178m,141
G2626,141
G661m,141
G85,141
G995,141
G1093m,142
G581m,142
G1532,143
G1817,143
G1912,143
G2497,143
G891,143
G1637,144
G1675,144
G1861,144
G2103,144
G1892,145
G257,145
G1304,146
G1305,146
G2091,146
G1309,147
G1310,147
G1634,147
G1521,148
G1906,148
G2163m,148
G227,148
G1573,149
G1579,149
G2501,149
G2645,149
G1966,150
G2791,150
G770m,150
G1043,151
G2231,151
G253,151
G3073,151
G1273,152
G1494,152
G1495,152
G1621,152
G2230,152
G871m,152
G2452,153
G1822,154
G1837,154
G1898,154
G2128,155
G630m,155
G810m,155
G818m,155
G1492,156
G1705,156
G1943,156
G2463,156
G851m,156
G1500FE27,157
G1660,157
G2450,157
G2875,157
