DATASET_COLORSTRIP,,
SEPARATOR COMMA,,
DATASET_LABEL, fastlvl1,
G2383,#a6cee3,1
G2397,#a6cee3,1
G2407,#a6cee3,1
G2411,#a6cee3,1
G2414,#a6cee3,1
G2420,#a6cee3,1
G2423,#a6cee3,1
G2430,#a6cee3,1
G2435,#a6cee3,1
G2447,#a6cee3,1
G2451,#a6cee3,1
G2456,#a6cee3,1
G2457,#a6cee3,1
G2462,#a6cee3,1
G2464,#a6cee3,1
G2465m,#a6cee3,1
G2469,#a6cee3,1
G2475,#a6cee3,1
G2479,#a6cee3,1
G247,#a6cee3,1
G2481,#a6cee3,1
G2483m,#a6cee3,1
G2490,#a6cee3,1
G2498m,#a6cee3,1
G249,#a6cee3,1
G2500,#a6cee3,1
G251,#a6cee3,1
G2526,#a6cee3,1
G2532,#a6cee3,1
G2535,#a6cee3,1
G255,#a6cee3,1
G2571,#a6cee3,1
G2579,#a6cee3,1
G2581,#a6cee3,1
G2603,#a6cee3,1
G2606,#a6cee3,1
G2610,#a6cee3,1
G2620,#a6cee3,1
G2622,#a6cee3,1
G2624,#a6cee3,1
G2630,#a6cee3,1
G2638,#a6cee3,1
G2656,#a6cee3,1
G2660,#a6cee3,1
G2668,#a6cee3,1
G2682,#a6cee3,1
G2685,#a6cee3,1
G2688,#a6cee3,1
G2698,#a6cee3,1
G2705,#a6cee3,1
G271,#a6cee3,1
G2726,#a6cee3,1
G2728,#a6cee3,1
G2750,#a6cee3,1
G2765,#a6cee3,1
G2769,#a6cee3,1
G2786,#a6cee3,1
G2788,#a6cee3,1
G2803,#a6cee3,1
G2806,#a6cee3,1
G2807,#a6cee3,1
G2808,#a6cee3,1
G2813,#a6cee3,1
G2821,#a6cee3,1
G2827,#a6cee3,1
G2836,#a6cee3,1
G2837,#a6cee3,1
G287,#a6cee3,1
G2979,#a6cee3,1
G298m,#a6cee3,1
G3000,#a6cee3,1
G302m,#a6cee3,1
G3058,#a6cee3,1
G3061,#a6cee3,1
G3064,#a6cee3,1
G3072,#a6cee3,1
G3074,#a6cee3,1
G317m,#a6cee3,1
G320m,#a6cee3,1
G321m,#a6cee3,1
G323m,#a6cee3,1
G338m,#a6cee3,1
G356m,#a6cee3,1
G358m,#a6cee3,1
G368m,#a6cee3,1
G377,#a6cee3,1
G398m,#a6cee3,1
G401m,#a6cee3,1
G403m,#a6cee3,1
G409,#a6cee3,1
G410m,#a6cee3,1
G441m,#a6cee3,1
G442m,#a6cee3,1
G446,#a6cee3,1
G470m,#a6cee3,1
G471m,#a6cee3,1
G498m,#a6cee3,1
G499m,#a6cee3,1
G503m,#a6cee3,1
G508m,#a6cee3,1
G552m,#a6cee3,1
G553m,#a6cee3,1
G554,#a6cee3,1
G556m,#a6cee3,1
G560,#a6cee3,1
G562m,#a6cee3,1
G566m,#a6cee3,1
G568m,#a6cee3,1
G571m,#a6cee3,1
G572,#a6cee3,1
G587,#a6cee3,1
G589,#a6cee3,1
G597,#a6cee3,1
G654m,#a6cee3,1
G681m,#a6cee3,1
G697m,#a6cee3,1
G69,#a6cee3,1
G701m,#a6cee3,1
G73,#a6cee3,1
G766m,#a6cee3,1
G817m,#a6cee3,1
G828m,#a6cee3,1
G830m,#a6cee3,1
G837m,#a6cee3,1
G838m,#a6cee3,1
G83,#a6cee3,1
G846m,#a6cee3,1
G860m,#a6cee3,1
G880m,#a6cee3,1
G881m,#a6cee3,1
G883,#a6cee3,1
G884,#a6cee3,1
G885,#a6cee3,1
G886,#a6cee3,1
G888,#a6cee3,1
G906,#a6cee3,1
G909,#a6cee3,1
G910,#a6cee3,1
G921,#a6cee3,1
G923m,#a6cee3,1
G925,#a6cee3,1
G932,#a6cee3,1
G940,#a6cee3,1
G941,#a6cee3,1
G950,#a6cee3,1
G951,#a6cee3,1
G958,#a6cee3,1
G95m_NOSIP,#a6cee3,1
G980,#a6cee3,1
G982,#a6cee3,1
G989,#a6cee3,1
G04,#1f78b4,2
G1002,#1f78b4,2
G1011,#1f78b4,2
G1022,#1f78b4,2
G1023,#1f78b4,2
G1036,#1f78b4,2
G1058,#1f78b4,2
G109,#1f78b4,2
G1160,#1f78b4,2
G116,#1f78b4,2
G1185,#1f78b4,2
G1191,#1f78b4,2
G1192,#1f78b4,2
G119,#1f78b4,2
G1238FE28,#1f78b4,2
G1246,#1f78b4,2
G1261,#1f78b4,2
G126,#1f78b4,2
G1279,#1f78b4,2
G1280,#1f78b4,2
G1285,#1f78b4,2
G1286,#1f78b4,2
G1293,#1f78b4,2
G1302m,#1f78b4,2
G1303,#1f78b4,2
G1308,#1f78b4,2
G1334,#1f78b4,2
G1351,#1f78b4,2
G1359,#1f78b4,2
G135,#1f78b4,2
G1369,#1f78b4,2
G1378,#1f78b4,2
G1404,#1f78b4,2
G1429,#1f78b4,2
G1432,#1f78b4,2
G1438,#1f78b4,2
G143,#1f78b4,2
G1449,#1f78b4,2
G1458,#1f78b4,2
G1459,#1f78b4,2
G145,#1f78b4,2
G1461,#1f78b4,2
G1467,#1f78b4,2
