DATASET_COLORSTRIP,,
SEPARATOR COMMA,,
DATASET_LABEL, fastlvl4,
DATA,,
G1188,#a6cee3,1
G1567,#a6cee3,1
G2097,#a6cee3,1
G2462,#a6cee3,1
G2765,#a6cee3,1
G2786,#a6cee3,1
G3064,#a6cee3,1
G3072,#a6cee3,1
G446,#a6cee3,1
G837m,#a6cee3,1
G881m,#a6cee3,1
G932,#a6cee3,1
G1421,#1f78b4,2
G2096,#1f78b4,2
G2430,#1f78b4,2
G2750,#1f78b4,2
G560,#1f78b4,2
G925,#1f78b4,2
G1356,#b2df8a,3
G1686,#b2df8a,3
G441m,#b2df8a,3
G1061,#33a02c,4
G1616,#33a02c,4
G1795,#33a02c,4
G2243,#33a02c,4
G2307,#33a02c,4
G2423,#33a02c,4
G2456,#33a02c,4
G2457,#33a02c,4
G321m,#33a02c,4
G442m,#33a02c,4
G982,#33a02c,4
G111,#fb9a99,5
G1684,#fb9a99,5
G182,#fb9a99,5
G2194,#fb9a99,5
G2265,#fb9a99,5
G1154,#e31a1c,6
G149m,#e31a1c,6
G1512,#e31a1c,6
G1646,#e31a1c,6
G1773,#e31a1c,6
G1920,#e31a1c,6
G302m,#e31a1c,6
G358m,#e31a1c,6
G2254,#fdbf6f,7
G2255,#fdbf6f,7
G2263,#fdbf6f,7
G2341,#fdbf6f,7
G1199,#ff7f00,8
G1200,#ff7f00,8
G1672,#ff7f00,8
G1863,#ff7f00,8
G1869m,#ff7f00,8
G2190,#ff7f00,8
G2490,#ff7f00,8
G2808,#ff7f00,8
G2813,#ff7f00,8
G701m,#ff7f00,8
G1522,#cab2d6,9
G228,#cab2d6,9
G2294,#cab2d6,9
G2306,#cab2d6,9
G2309,#cab2d6,9
G2326,#cab2d6,9
G2344,#cab2d6,9
G255,#cab2d6,9
G2656,#cab2d6,9
G554,#cab2d6,9
G572,#cab2d6,9
G1019,#6a3d9a,10
G110,#6a3d9a,10
G1113,#6a3d9a,10
G1195,#6a3d9a,10
G1198,#6a3d9a,10
G1243,#6a3d9a,10
G1357m,#6a3d9a,10
G139,#6a3d9a,10
G1516,#6a3d9a,10
G1523,#6a3d9a,10
G1528,#6a3d9a,10
G1609,#6a3d9a,10
G1612,#6a3d9a,10
G1657,#6a3d9a,10
G1713,#6a3d9a,10
G1716m,#6a3d9a,10
G1824,#6a3d9a,10
G1893,#6a3d9a,10
G1964,#6a3d9a,10
G2042,#6a3d9a,10
G204,#6a3d9a,10
G216,#6a3d9a,10
G217,#6a3d9a,10
G2225,#6a3d9a,10
G2239,#6a3d9a,10
G2275,#6a3d9a,10
G2581,#6a3d9a,10
G2638,#6a3d9a,10
G2726,#6a3d9a,10
G2803,#6a3d9a,10
G2821,#6a3d9a,10
G2827,#6a3d9a,10
G320m,#6a3d9a,10
G508m,#6a3d9a,10
G568m,#6a3d9a,10
G597,#6a3d9a,10
G69,#6a3d9a,10
G880m,#6a3d9a,10
G910,#6a3d9a,10
G1105m,#ffff99,11
G1152,#ffff99,11
G124,#ffff99,11
G1272,#ffff99,11
G1315,#ffff99,11
G1433,#ffff99,11
G1545,#ffff99,11
G1546,#ffff99,11
G1607,#ffff99,11
G166,#ffff99,11
G1678,#ffff99,11
G1754,#ffff99,11
G1768,#ffff99,11
G176,#ffff99,11
G1772,#ffff99,11
G1918,#ffff99,11
G1972,#ffff99,11
G2002,#ffff99,11
G2093,#ffff99,11
G2136,#ffff99,11
G2206,#ffff99,11
G2226,#ffff99,11
G222,#ffff99,11
G2279,#ffff99,11
G22,#ffff99,11
G2336,#ffff99,11
G247,#ffff99,11
G2769,#ffff99,11
G2788,#ffff99,11
G2806,#ffff99,11
G2807,#ffff99,11
G3074,#ffff99,11
G323m,#ffff99,11
G338m,#ffff99,11
G471m,#ffff99,11
G654m,#ffff99,11
G697m,#ffff99,11
G838m,#ffff99,11
G884,#ffff99,11
G885,#ffff99,11
G886,#ffff99,11
G906,#ffff99,11
G941,#ffff99,11
G951,#ffff99,11
G958,#ffff99,11
G989,#ffff99,11
G03,#b15928,12
G125,#b15928,12
G1342,#b15928,12
G1347,#b15928,12
G1471_NOSIP,#b15928,12
G1474_NOSIP,#b15928,12
G147,#b15928,12
G1505,#b15928,12
G1506,#b15928,12
G1538,#b15928,12
G1676,#b15928,12
G1783,#b15928,12
G1792,#b15928,12
G1829,#b15928,12
G2105,#b15928,12
G2266,#b15928,12
G503m,#b15928,12
G1090,#a6cee3,13
G1520,#a6cee3,13
G1590,#a6cee3,13
G165,#a6cee3,13
G1764,#a6cee3,13
G1775,#a6cee3,13
G1788,#a6cee3,13
G1842,#a6cee3,13
G2059,#a6cee3,13
G2280,#a6cee3,13
G249,#a6cee3,13
G2532,#a6cee3,13
G2624,#a6cee3,13
G2682,#a6cee3,13
G271,#a6cee3,13
G562m,#a6cee3,13
G909,#a6cee3,13
G1060,#1f78b4,14
G1481,#1f78b4,14
G2264,#1f78b4,14
G2407,#1f78b4,14
G2606,#1f78b4,14
G2610,#1f78b4,14
G681m,#1f78b4,14
G921,#1f78b4,14
G1098m,#b2df8a,15
G1752m,#b2df8a,15
G2464,#b2df8a,15
G2685,#b2df8a,15
G2698,#b2df8a,15
G2837,#b2df8a,15
G589,#b2df8a,15
G1099,#33a02c,16
G1163,#33a02c,16
